"ID","Real_rates_Australia","Real_rates_Canada","Real_rates_Chile","Real_rates_Colombia","Real_rates_Denmark","Real_rates_Israel","Real_rates_Japan","Real_rates_Mexico","Real_rates_New_Zeland","Real_rates_Poland","Real_rates_South_Korea","Real_rates_Sweden","Real_rates_Turkey","Real_rates_United_Kingdom","Real_rates_United_States","Inflation_linked_real_rates_Germany","Inflation_linked_real_rates_CPI","Inflation_linked_France_real_rates_CPIEuro","Inflation_linked_real_rates_Italy","Inflation_linked_real_rates_Spain","Inflation_linked_real_rates_US_1y3y_Total_Return_Hedged_EUR","Inflation_linked_real_rates_US_Govt_0y5y_Total_Return_Index","Inflation_linked_real_rates_UK_1y3y_Total_Return_Hedged_EUR","Inflation_linked_real_rates_France_Govt_1y3y_Total_Return","Inflation_linked_real_rates_Italy_Govt_1y3y_Total_Return_Index","Schatz","Bobl","Bund","Buxl","OAT_10Y","BTP_2Y","BTP_10Y","US_2Y","US_5Y","US_10Y","US_20Y","US_30Y","Short_Gilt","Gilt_10Y","JPN_5Y","JPN_10Y","JPN_30Y","AU_3Y","AU_10Y","CAD_10Y","SEK_5Y","CAD_10Y_bond","AUD_10Y_bond","NZD_10Y_bond","NOK_10Y_bond","SEK_10Y_bond","DKK_10Y_bond","CHF_10Y_bond","EUR_2y10y","EUR_10y30y","US_2y10y","US_10y30y","GBP_2y10y","JPN_2y10y","US_EUR_10Y","UK_EUR_10Y","US_UK_10Y","US_EUR_2Y","USDEUR","GBPEUR","GBPUSD","USDJPY","CHFEUR","JPYEUR","CADEUR","AUDEUR","NZDEUR","NOKEUR","SEKEUR","DKKEUR"
"1/11/1900","0.53536063479197","-3.2220367048196","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.19498851042355","0","-0.22152141487321","-1.6863841957957","-0.63859120916094","0","4.5326530612247","-0.036546943919346","-0.26448466815434","0","0","0","0","0","0","0","0","0","0","1.2625","0","0","0","0.34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0"
"1/12/1900","-3.4962582169302","0.92696719050923","0","0","0","0","0","0","0","0","0","0","0","0","0","0.15985124557473","0","0.62858987949458","1.618587869778","1.6240307736902","0","12.281152242888","0.14010765393197","0.39685820587021","0","0","0","0","0","0","0","0","0","0","-0.635","0","0","0","0.22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0"
"1/13/1900","2.1419724374394","0.16750324995255","0","0","0","0","0","0","0","0","0","0","0","0","0","0.066384240297479","0","0.15509317369058","0.0038040628075663","0.23711936561694","0","1.5399251272084","0.55417164306437","0","0","0","0","0","0","0","0","0","0","0","0.55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0"
"1/14/1900","1.7068848772885","0.26043962142428","0","0","0","0","0","0","0","0","0","0","0","0","0","0.056254792050894","0","0.19373818959421","3.1776518678683","0.85886328623248","0","-3.6076881971625","0.29196161711492","0.2644409552929","0","0","0","0","0","0","0","0","0","0","0.1675","0","0","0","-0.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0"
"1/15/1900","0.12643140878269","-4.0687690340593","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.16386353430214","0","-0.65839757497825","-5.2200425888591","-2.1376756821397","0","3.701765576473","-0.085101923177672","-0.26435357290371","0","0","0","0","0","0","0","0","0","0","0.805","0","0","0","0.74","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0"
"1/16/1900","0.16292919888935","1.6831570906765","0","0","0","0","0","0","0","0","0","0","0","0","0","0.14075015645824","0","0.61943105463044","3.6483445817029","1.2288977238528","0","1.4926700250511","0.19151445268487","0.2644409552929","0","0","0","0","0","0","0","0","0","0","-1.19","0","0","0","-1.12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0"
"1/17/1900","1.8532394344436","-0.11527534311561","0","0","0","0","0","0","0","0","0","0","0","0","0","0.065349099434397","0","0.23779603337728","4.495747792595","0.4151382139902","0","2.490459206768","0.039502550769745","0.2643535729038","0","0","0","0","0","0","0","0","0","0","-0.17","0","0","0","0.32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0"
"1/18/1900","0.82070133262703","1.9261335867854","0","0","0","0","0","0","0","0","0","0","0","0","0","0.16542186805803","0","0.46379287395025","4.4738429625906","1.2340545308403","0","3.9320294628707","-0.012153596311984","0.066066562061217","0","0","0","0","0","0","0","0","0","0","-0.042500000000001","0","0","0","-0.44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0"
"1/19/1900","-0.50002531105479","-0.018555536304784","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.039990192314519","0","0.2802176035468","3.734101588532","1.2510740739072","0","0.94419371433877","-0.012153914660631","0.13212221304714","0","0","0","0","0","0","0","0","0","0","-0.255","0","0","0","0.28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0"
"1/20/1900","2.6150840546767","0.34497745985514","0","0","0","0","0","0","0","0","0","0","0","0","0","0.23776337094146","0","0.50548532150373","3.7888540665573","1.7744238065447","0","7.0893054410913","0.066848281642891","0.066050198150534","0","0","0","0","0","0","0","0","0","0","-0.85","0","0","0","-0.54","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0"
