ID,Real_rates_Australia,Real_rates_Canada,Real_rates_Chile,Real_rates_Colombia,Real_rates_Denmark,Real_rates_Israel,Real_rates_Japan,Real_rates_Mexico,Real_rates_New_Zeland,Real_rates_Poland,Real_rates_South_Korea,Real_rates_Sweden,Real_rates_Turkey,Real_rates_United_Kingdom,Real_rates_United_States,Inflation_linked_real_rates_Germany,Inflation_linked_real_rates_CPI,Inflation_linked_France_real_rates_CPIEuro,Inflation_linked_real_rates_Italy,Inflation_linked_real_rates_Spain,Inflation_linked_real_rates_US_1y3y_Total_Return_Hedged_EUR,Inflation_linked_real_rates_US_Govt_0y5y_Total_Return_Index,Inflation_linked_real_rates_UK_1y3y_Total_Return_Hedged_EUR,Inflation_linked_real_rates_France_Govt_1y3y_Total_Return,Inflation_linked_real_rates_Italy_Govt_1y3y_Total_Return_Index,Schatz,Bobl,Bund,Buxl,OAT_10Y,BTP_2Y,BTP_10Y,US_2Y,US_5Y,US_10Y,US_20Y,US_30Y,Short_Gilt,Gilt_10Y,JPN_5Y,JPN_10Y,JPN_30Y,AU_3Y,AU_10Y,CAD_10Y,SEK_5Y,CAD_10Y_bond,AUD_10Y_bond,NZD_10Y_bond,NOK_10Y_bond,SEK_10Y_bond,DKK_10Y_bond,CHF_10Y_bond,EUR_2y10y,EUR_10y30y,US_2y10y,US_10y30y,GBP_2y10y,JPN_2y10y,US_EUR_10Y,UK_EUR_10Y,US_UK_10Y,US_EUR_2Y,USDEUR,GBPEUR,GBPUSD,USDJPY,CHFEUR,JPYEUR,CADEUR,AUDEUR,NZDEUR,NOKEUR,SEKEUR,DKKEUR
12/31/2012,4.93,4.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0,3.22,14.06,7.46,0,52.1,4.64,8,0,0,0,0.0,0,0,0,0,0,0,-0.25,0,0,0,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2013,4.93,4.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0,3.22,14.06,7.46,0,52.1,4.64,8,0,0,0,-0.2,0,0,0,0,0,0,-0.25,0,0,0,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2015,4.93,4.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0,3.22,14.06,7.46,0,52.1,4.64,8,0,0,0,-0.48,0,0,0,0,0,0,-0.25,0,0,0,-0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
